[I 2025-04-30 13:33:51,357] Trial 79 finished with value: 0.8478409090909091 and parameters: {'n_estimators': 697, 'max_depth': 42, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:34:02,517] Trial 80 finished with value: 0.8848863636363635 and parameters: {'n_estimators': 576, 'max_depth': 46, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:34:15,628] Trial 81 finished with value: 0.8902272727272728 and parameters: {'n_estimators': 589, 'max_depth': 36, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:34:30,659] Trial 82 finished with value: 0.8898863636363636 and parameters: {'n_estimators': 665, 'max_depth': 39, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:34:44,799] Trial 83 finished with value: 0.8906818181818181 and parameters: {'n_estimators': 623, 'max_depth': 36, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:34:58,898] Trial 84 finished with value: 0.8906818181818181 and parameters: {'n_estimators': 627, 'max_depth': 41, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:35:13,821] Trial 85 finished with value: 0.8906818181818184 and parameters: {'n_estimators': 624, 'max_depth': 40, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:35:25,480] Trial 86 finished with value: 0.8901136363636363 and parameters: {'n_estimators': 510, 'max_depth': 41, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:35:37,873] Trial 87 finished with value: 0.8902272727272728 and parameters: {'n_estimators': 547, 'max_depth': 45, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:35:51,660] Trial 88 finished with value: 0.8906818181818184 and parameters: {'n_estimators': 621, 'max_depth': 43, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
